Station_ID ,Station_Name,Address,Latitude,Longitude,Total_Reviews,Open_24_Hours,Google_Maps_URL,Open_24_Hours,Decision_Score
ChIJ91SugWEL04URz6cCirm8VV4,Mobil,"C. Constituyentes 27, Villa los Olivos, 76800 San Juan del Río, Qro., Mexico",20.3951597,-99.9885709,185,TRUE,https://www.google.com/maps/search/?api=1&query=Mobil&query_place_id=ChIJ91SugWEL04URz6cCirm8VV4,TRUE,84
ChIJQ6QMW_Cd04URV_p78OVA93k,Mobil Tequisquiapan,"Carretera, Estatal 200 no 265, Grande, 76799 Qro., Mexico",20.5378491,-99.8928551,254,TRUE,https://www.google.com/maps/search/?api=1&query=Mobil%20Tequisquiapan&query_place_id=ChIJQ6QMW_Cd04URV_p78OVA93k,TRUE,87
ChIJYZsWW1AL04URGn9MVilm0q4,Mobil,"C. Constituyentes 243, Fovissste la Guitarilla, 76803 San Juan del Río, Qro., Mexico",20.4150377,-99.9816676,154,TRUE,https://www.google.com/maps/search/?api=1&query=Mobil&query_place_id=ChIJYZsWW1AL04URGn9MVilm0q4,TRUE,83
ChIJMbDuW7dt04UR3GiUi1qd4Uw,Pemex,"Autopista Mexico - Queretaro Tramo Palmillas Qr Km 175 32, 76729 Qro., Mexico",20.4624703,-100.0983569,1946,TRUE,https://www.google.com/maps/search/?api=1&query=Pemex&query_place_id=ChIJMbDuW7dt04UR3GiUi1qd4Uw,TRUE,92
ChIJAXzsI8pt04URDm0mTCExiYs,Chevron,"México Querétaro KM 175, México 45D 177, 76729 El Sauz, Qro., Mexico",20.4621846,-100.0967635,191,TRUE,https://www.google.com/maps/search/?api=1&query=Chevron&query_place_id=ChIJAXzsI8pt04URDm0mTCExiYs,TRUE,86
ChIJFf-OLFN504URUOM29w-sCcY,Pemex,"Km 5 Crucero Carret. Bernal y, 76650 Colón, Qro., Mexico",20.7073682,-99.9829661,121,TRUE,https://www.google.com/maps/search/?api=1&query=Pemex&query_place_id=ChIJFf-OLFN504URUOM29w-sCcY,TRUE,82
ChIJvUHgLIRz04UR2guVVB0E6_A,G500,"Queretaro - Ixmiquilpan 135, Nuevo Espiritu Santo, 76815 La Estancia, Qro., Mexico",20.4230169,-100.0510449,926,TRUE,https://www.google.com/maps/search/?api=1&query=G500&query_place_id=ChIJvUHgLIRz04UR2guVVB0E6_A,TRUE,92
ChIJQ58F8o2D04UR-SjtaBgIAhs,"Doña Gasolineria Pure, S.A. De C.V.","Federal No. 120 San Juan del Rio - Xilitla 5, Zona Centro, 76503 Cadereyta de Montes, Qro., Mexico",20.7018595,-99.8214643,232,TRUE,https://www.google.com/maps/search/?api=1&query=Do%C3%B1a%20Gasolineria%20Pure%2C%20S.A.%20De%20C.V.&query_place_id=ChIJQ58F8o2D04UR-SjtaBgIAhs,TRUE,83
ChIJOzOV7mQL04URdu25HFoftmA,BP,"Paseo Central, Centro, 76800 San Juan del Río, Qro., Mexico",20.3903271,-99.9845395,105,TRUE,https://www.google.com/maps/search/?api=1&query=BP&query_place_id=ChIJOzOV7mQL04URdu25HFoftmA,TRUE,78
ChIJoxaF7h9204URgn-rHXEiMBQ,bp,"Pueblo Ampliación Del Paraís, Mexican Federal Highway 120 23 San Juan Del Río, 76248 El Ciervo, Qro., Mexico",20.5459526,-99.9028251,148,TRUE,https://www.google.com/maps/search/?api=1&query=bp&query_place_id=ChIJoxaF7h9204URgn-rHXEiMBQ,TRUE,85
ChIJb_1WzuWD04URUioqa1uy8qw,Gasolinera 4773,"20.707381,-99.828456 76500 cadereyta, QRO México, 76500 Cadereyta de Montes, Qro., Mexico",20.707142,-99.828375,66,TRUE,https://www.google.com/maps/search/?api=1&query=Gasolinera%204773&query_place_id=ChIJb_1WzuWD04URUioqa1uy8qw,TRUE,82
ChIJfZNdjF4N04URqpQbIbzFXbc,Mobil La Estancia,"Autop. México - Querétaro km. 167.8, 76830 Santiago de Querétaro, Qro., Mexico",20.4174123,-100.0447238,484,TRUE,https://www.google.com/maps/search/?api=1&query=Mobil%20La%20Estancia&query_place_id=ChIJfZNdjF4N04URqpQbIbzFXbc,TRUE,90
